nprob     n evals Best Methods
   57     1     3 Best: barycentric
   58     1     3 Best: regula_falsi, illinois, pegasus, toms748, brent, brentq, anderson_bjorck, brenth
   59     1     9 Best: muller
   60     1    14 Best: anderson_bjorck
   61     1     8 Best: rbp, modab, pegasus, toms748, brent, brentq, anderson_bjorck, brenth, muller, chandrupatla
   62     1    14 Best: chandrupatla
   63     1     8 Best: modab, pegasus, toms748, brent, brentq, anderson_bjorck, brenth, muller
   64     1     7 Best: muller
   65     1     9 Best: muller
   66     1     8 Best: rbp, muller
   67     1    12 Best: brent, brentq, brenth, chandrupatla
   68     1     8 Best: itp, toms748, brent, brentq, anderson_bjorck, brenth, muller, chandrupatla
   69     1     6 Best: bdqrf, rbp
   70     1     6 Best: rbp
   71     1     3 Best: regula_falsi, illinois, pegasus, toms748, brent, brentq, anderson_bjorck, brenth
   72     1     3 Best: regula_falsi, illinois, pegasus, toms748, brent, brentq, anderson_bjorck, brenth
   73     1    10 Best: toms748
   74     1    12 Best: modab, brenth, muller
   75     1    11 Best: toms748
   76     1     9 Best: toms748, brent, brentq, brenth
   77     1     8 Best: toms748
   78     1    12 Best: itp, modab, toms748, chandrupatla
   79     1     9 Best: toms748
   80     1     8 Best: toms748, brent, brentq, brenth
   81     1     9 Best: pegasus, anderson_bjorck
   82     1     9 Best: toms748, brent, brentq, brenth
   83     1    12 Best: ridders, modab, muller, chandrupatla
   84     1    12 Best: toms748
   85     1    13 Best: modab
   86     1     9 Best: toms748, muller
   87     1     8 Best: pegasus
   88     1     9 Best: toms748
   89     1    10 Best: ridders, rbp, modab, muller, chandrupatla
   90     1     8 Best: pegasus, toms748, brent, brentq, anderson_bjorck, brenth, muller, chandrupatla
   91     1     8 Best: pegasus, toms748, brent, brentq, anderson_bjorck, brenth, chandrupatla
   92     1     8 Best: toms748, anderson_bjorck, brenth, muller, chandrupatla
   93     1    10 Best: rbp, muller
   94     1     6 Best: rbp, muller
   95     1     7 Best: pegasus, toms748, anderson_bjorck, muller, chandrupatla
   96     1     9 Best: modab, pegasus, brent, brentq, anderson_bjorck, brenth, muller, chandrupatla
   97     1     8 Best: rbp, pegasus, toms748, anderson_bjorck, brenth, muller, chandrupatla
   98     1     8 Best: brent, brentq, anderson_bjorck, brenth, muller, chandrupatla
   99     1     8 Best: brent, brentq
  100     1     3 Best: regula_falsi, illinois, pegasus, toms748, brent, brentq, anderson_bjorck, brenth
  101     5     6 Best: muller
  101    10     6 Best: rbp, muller
  101    20     6 Best: bdqrf, rbp, muller
  102     1    15 Best: itp
  103     1     4 Best: bdqrf, rbp, muller
  104     1     4 Best: bdqrf, muller
  105     1     6 Best: rbp, muller
  106     1     3 Best: blendtf
  107     1     4 Best: bdqrf, rbp, muller
  108     1     9 Best: brent, brentq, brenth, chandrupatla
  109     1     9 Best: itp, brent, brentq, chandrupatla
  110     1     7 Best: toms748, muller
  111     1     7 Best: pegasus, toms748, brent, brentq, anderson_bjorck, brenth
  112     1    10 Best: rbp, modab, pegasus, brent, brentq, anderson_bjorck, brenth, muller, chandrupatla
  113     1    10 Best: brent, brentq, brenth
  114     1     7 Best: toms748, muller, chandrupatla
  115     1     8 Best: muller
  116     1     8 Best: rbp, toms748, brent, brentq, anderson_bjorck, brenth, muller
  117     1     7 Best: muller
  118     1     7 Best: muller
  119     1     9 Best: brenth, muller, chandrupatla
  120     1     7 Best: illinois
  121     1     8 Best: pegasus, toms748, brent, brentq, anderson_bjorck, brenth, muller
  122     1    10 Best: pegasus, toms748, brent, brentq
  123     1    10 Best: brenth
  124     1     8 Best: modab, pegasus, toms748, brent, brentq, anderson_bjorck, brenth, muller
  125     1    10 Best: toms748, brent, brentq, brenth
  126     1     9 Best: rbp, modab, muller, chandrupatla
  127     1     3 Best: barycentric
  128     1    35 Best: bisection, modab
  129     1    35 Best: bisection, modab
  130     1     4 Best: blendtf
  131     1     3 Best: blendtf
  132     1     3 Best: regula_falsi, illinois, pegasus, toms748, brent, brentq, anderson_bjorck, brenth
  133     1     3 Best: regula_falsi, illinois, pegasus, toms748, brent, anderson_bjorck
  134     1     9 Best: modab, pegasus, toms748, brent, brentq, anderson_bjorck, brenth, chandrupatla
  135     1    12 Best: itp
  136     1     9 Best: muller
  137     1     7 Best: muller, chandrupatla
  138     1    11 Best: toms748
  139     1    15 Best: brent, brentq, anderson_bjorck
  140     1     4 Best: ridders, blendtf
  141     1     7 Best: muller
  142     1     6 Best: blendtf
  143     1    16 Best: itp
  144     1    11 Best: bisection, modab, chandrupatla
  145     1    10 Best: muller
  146     1     7 Best: muller
  147     1     9 Best: muller
  148     1     6 Best: blendtf
  149     1    18 Best: bisection, modab, chandrupatla
  150     1    11 Best: bisection, modab, chandrupatla
  151     1    11 Best: toms748
  152     1     5 Best: anderson_bjorck
  153     1    10 Best: brenth
  154     1    11 Best: anderson_bjorck
  155     1    10 Best: bdqrf, rbp, muller
  156     1     7 Best: pegasus, brent, brentq, anderson_bjorck, brenth, muller
  157     1    12 Best: chandrupatla
