no,n,interval,root,bisect_fallback,bisection,regula_falsi,abkk,barycentric,zhang,ridders,illinois,blendtf,itp,bdqrf,rbp,pegasus,toms748,brent,brentq,anderson_bjorck,brenth,muller,modab,chandrupatla
35,,"[2,3]",2.094551481542327E+00,,45,36,20,20,16,16,10,26,9,10,10,9,8,8,8,8,7,7,9,8
36,,"[0.5,2]",1.000000000000000E+00,,46,52,20,24,14,12,12,3,12,12,12,8,6,4,4,4,4,9,7,9
37,,"[-10,10]",1.000000000000000E+00,regula_falsi,50,1050,22,38,18,14,17,36,13,20,14,16,17,16,16,13,16,15,13,13
38,,"[0,10]",1.000000000000000E+00,,49,36,20,29,16,18,15,29,12,12,12,13,11,12,12,13,11,10,12,10
39,,"[0,10]",1.000000000000000E+00,,49,57,20,59,16,18,20,32,13,14,14,19,13,12,12,17,12,10,14,13
40,,"[0,10]",1.000000000000000E+00,regula_falsi;rbp,13,1013,24,44,24,19,53,25,15,25,2013,74,27,34,34,49,34,51,13,13
41,,"[-2,3]",0.000000000000000E+00,,53,8,12,49,12,12,9,17,11,14,9,8,10,8,8,8,8,9,8,10
42,,"[-0.001,1]",0.000000000000000E+00,,46,7,10,27,10,14,8,17,7,14,8,7,7,6,6,7,6,8,8,8
43,,"[0,0.7]",6.777129263286841E-01,,46,33,20,26,16,16,12,26,18,16,16,10,11,11,11,11,10,10,12,11
44,,"[-0.7,0.4]",-6.400836960846841E-01,,46,14,16,27,18,18,12,26,15,18,24,12,13,12,12,10,12,12,11,12
45,20,"[0.01,1]",5.000000000000000E-02,,50,170,22,34,17,16,15,32,34,18,18,12,18,14,14,5,8,13,10,13
45,30,"[0.01,1]",3.333333333333333E-02,,51,108,24,31,16,16,15,35,47,18,18,14,17,14,14,6,8,13,12,13
46,,"[-10,5]",0.000000000000000E+00,,56,135,18,39,20,22,19,4,14,16,20,17,15,16,16,16,17,15,14,16
47,,"[0.5,1.51]",1.000000000000000E+00,,46,87,22,32,10,10,12,26,12,12,10,10,11,10,10,9,9,9,10,9
48,,"[1e-12,1e12]",1.000000000000000E+00,regula_falsi;anderson_bjorck,86,1086,100,91,63,90,112,104,51,92,50,108,138,49,49,1086,49,49,48,49
49,,"[0,5]",3.000000000000000E+00,regula_falsi,19,1019,30,61,22,31,37,33,16,33,1802,58,54,47,47,44,46,130,19,19
50,,"[-1e10,1e10]",3.000000000000000E+00,regula_falsi;rbp,52,1052,88,102,92,94,100,94,54,69,2052,125,114,101,101,61,101,339,52,54
51,,"[0,5]",2.000000000000000E+00,regula_falsi;rbp,13,1013,23,52,23,17,49,23,15,23,2013,72,36,34,34,53,33,38,13,13
